img_id,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
836,237181,15291,1555,92,19292,2520,56,26,284384,16861,12449,0,0,117,0,0,0,0,0
851,202068,6609,138,137,703,4691,0,2231,300875,60650,11722,0,0,0,0,0,0,0,0
637,289135,88,112,0,747,1393,0,1177,73543,4700,210677,0,0,2422,5830,0,0,0,0
82,249725,534,45591,10985,2312,1647,37,236,5500,168,239462,97,0,32232,0,1298,0,0,0
1045,259782,9870,157893,5511,7034,2242,62,2129,63155,404,74050,0,0,7212,0,0,0,0,480
603,211413,32161,26659,9362,10910,1017,0,1,177950,6663,112375,0,0,1249,0,64,0,0,0
648,196692,16949,10016,8251,1991,9883,0,748,155452,53081,136392,0,0,334,0,0,0,0,35
871,209977,3318,297,421,201,567,0,253,317643,19039,36915,0,0,1193,0,0,0,0,0
631,206969,3665,22482,7230,4831,739,0,11,246045,3799,66634,0,9,21997,5177,0,0,0,236
606,214819,8896,116629,17,53,741,0,3,65691,4240,138643,0,0,40091,0,0,0,0,1
7,253371,9064,249144,12899,10833,142,0,0,14031,175,39001,20,0,1144,0,0,0,0,0
170,231885,11056,10734,79,1276,887,0,0,152506,40266,140134,61,0,929,0,0,0,11,0
411,205430,3521,0,0,0,3056,0,130,164384,18362,194873,0,0,68,0,0,0,0,0
260,212246,57668,69961,483,1148,6250,0,1804,19575,7670,211026,0,0,1993,0,0,0,0,0
854,191408,2680,8002,4,14996,7021,933,0,199660,32533,129799,0,0,224,0,0,1945,0,619
506,229846,27395,16616,2,5206,3143,0,0,196118,7113,99035,13,0,5337,0,0,0,0,0
368,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
929,245471,14612,23642,5,1820,3337,68,1000,126285,2319,156255,29,13,10347,293,2146,59,102,2021
994,228438,7726,6663,482,2018,816,1,39,40225,7777,250432,5,64,37055,5485,747,1709,0,142
412,235652,18610,33239,0,0,8884,5,733,57908,5604,221267,0,0,7922,0,0,0,0,0
29,281500,2361,80713,0,3496,826,31,3,5431,4641,207876,10,0,2936,0,0,0,0,0
682,179912,7078,3070,425,61,3786,7,21,178713,86498,128653,13,22,1565,0,0,0,0,0
246,255558,6898,11600,5966,787,3979,0,192,41403,9434,247033,1304,913,1151,0,2897,516,193,0
336,203409,54,35626,588,29,0,0,0,314835,18897,4522,0,0,11864,0,0,0,0,0
1046,228836,8429,25900,467,502,1452,0,107,123836,5291,171117,77,0,23760,48,0,0,2,0
284,212041,18221,81579,64,5952,4753,1954,168,91104,1311,156615,7,0,7012,8444,599,0,0,0
279,209278,626,114,0,248,2315,0,2653,119441,91476,158654,0,0,5019,0,0,0,0,0
1004,231294,272,71148,44,0,579,0,378,87286,3455,140363,0,0,55005,0,0,0,0,0
1057,243108,952,1602,197,1425,191,0,0,252510,5019,77205,0,0,7615,0,0,0,0,0
227,237844,237,389,0,6090,133,0,0,182444,20977,140832,0,0,878,0,0,0,0,0
536,240587,11063,52596,0,2677,2787,1061,744,29459,8599,227246,1,0,12998,0,0,0,0,6
957,251939,406,3,0,0,1339,354,0,123447,15693,193842,0,0,2801,0,0,0,0,0
636,203420,20413,135756,271,30146,9456,0,0,77137,0,87120,0,0,26105,0,0,0,0,0
906,185098,65211,428,100,977,500,0,0,213231,43773,79376,0,0,1130,0,0,0,0,0
620,250161,5545,30490,0,8628,2627,5697,840,103883,1714,172215,610,0,7408,0,0,0,0,6
533,196173,41616,2271,2506,20266,4348,65,0,115747,15618,190950,0,0,264,0,0,0,0,0
973,240582,20427,37266,878,2863,3705,0,11,90268,1065,192759,0,0,0,0,0,0,0,0
176,217654,41175,22137,29955,18726,3917,0,863,107382,3459,142376,0,0,2180,0,0,0,0,0
162,197293,60499,54644,2869,18961,14318,0,240,20177,2223,217386,30,0,1155,0,0,21,0,8
1033,251370,20327,1022,1669,279,7428,8453,11492,12362,3137,248724,0,0,7263,16298,0,0,0,0
1036,266214,690,3069,32,5624,3938,2439,1522,27443,303,267121,6,0,11423,0,0,0,0,0
205,230027,819,12993,0,0,930,1,37,49369,34983,248857,75,0,11714,19,0,0,0,0
794,211438,9813,1433,417,3845,888,0,161,207965,29536,120727,0,0,3601,0,0,0,0,0
1065,188766,2479,10684,0,6005,620,9,66,232466,1700,145899,2,0,1128,0,0,0,0,0
676,222508,35375,8209,24,103,807,0,1278,157371,616,163273,0,0,260,0,0,0,0,0
83,205187,235,48256,4404,6266,40,0,0,951,967,191969,2,0,12651,117425,47,1424,0,0
435,234529,20276,15186,2748,22,161,0,120,202360,8314,83550,447,0,22108,3,0,0,0,0
1067,202877,330,24166,0,168,4434,0,767,114119,4176,169373,219,0,36009,33186,0,0,0,0
378,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
1106,225172,37280,150745,0,11106,3755,28,269,5829,112,153406,665,0,1457,0,0,0,0,0
512,143953,379,4932,90,7824,1286,0,0,265317,79361,86391,0,0,291,0,0,0,0,0
864,192913,11829,7047,660,18188,691,0,112,184615,35109,135724,0,0,2936,0,0,0,0,0
581,172697,3691,9789,0,834,516,0,0,391768,7167,3301,0,0,61,0,0,0,0,0
560,250663,2590,927,0,1350,1045,0,0,170556,31418,131270,0,0,5,0,0,0,0,0
609,221726,14731,6378,39,3886,9088,0,1336,181304,15031,131030,70,0,4493,13,692,0,0,7
761,202845,36627,127175,2,1929,12386,1102,1860,34370,2155,156664,12463,0,223,0,0,0,0,23
892,222354,27243,13108,1747,18714,16014,3155,32,101090,1627,172884,1934,0,9162,0,610,150,0,0
217,265752,9636,128,0,192,4407,0,317,141944,3152,163769,34,0,493,0,0,0,0,0
778,197717,4966,1241,1028,25969,0,0,0,244271,35597,75667,0,0,3368,0,0,0,0,0
1101,238699,4288,45693,810,24146,3392,127,4,40102,13263,211465,199,0,3507,3985,0,0,0,144
985,243546,17983,33734,2692,5392,6718,3010,1523,128912,10998,132972,9,0,1249,20,0,0,1043,23
532,228336,18986,0,22,8489,348,0,21,288330,1985,43294,0,0,13,0,0,0,0,0
27,256536,1241,53815,3090,19395,1277,5,6,19878,868,209096,8,0,21674,0,2935,0,0,0
