"","GEOID","county","hhincome","hhincome_log","pct_pov","pct_pov_log","pct_white","pop","review_count","review_count_log","avg_rating","avg_price","n"
"79","13067030603","Cobb County",80942,11.3016116654096,0.0952060555088309,-2.25183441846413,0.270815811606392,5945,42,3.74777097194213,"2","2",2
"80","13067030604","Cobb County",64267,11.0709571479471,0.0590515955860424,-2.67290129170312,0.371005917159763,3380,21,2.63649977928187,"2","1",2
"81","13067030800","Cobb County",70115,11.158034642825,0.115111437668381,-2.07855043748409,0.449324873922238,6147,17.5,2.31248640664214,"2","1",2
"82","13067030907","Cobb County",107045,11.5810980000733,0.0634835956255001,-2.61069308644237,0.682048546279008,3749,40,3.71357206670431,"2","1",1
"83","13067030908","Cobb County",77544,11.2587297469005,0.0932944606413994,-2.27017152828856,0.169825072886297,4116,41,3.73766961828337,"3","2",1
"84","13067030911","Cobb County",68485,11.1345160288855,0.204649905379832,-1.53874692512307,0.171127331711273,3699,32.6666666666667,3.2462043031153,"2","1",3
"85","13067031101","Cobb County",62591,11.0445365314015,0.211190264173345,-1.50873202398548,0.400939242735544,6814,11,2.484906649788,"4","NaN",1
"86","13067031110","Cobb County",108672,11.5961814660209,0.0802507836990596,-2.40516299816076,0.560175054704595,3199,159,5.07517381523383,"4","1",1
"87","13067031111","Cobb County",98646,11.4993943306859,0.0451197053406998,-2.89824799806933,0.498623432242276,3269,652,6.48157712927643,"4","2",1
"88","13067031114","Cobb County",66691,11.1079752242951,0.124501197126895,-2.00618217940814,0.245650438946528,6265,56.3333333333333,3.32206020729152,"2","2",3
"89","13067031115","Cobb County",94868,11.4603471347514,0.116824762855716,-2.06494896538553,0.467049425861208,4006,36.5,3.27838917807902,"2","1",2
"90","13067031118","Cobb County",123272,11.7222296930941,0.138349514563107,-1.90818420449126,0.607148878772551,5931,46,3.85014760171006,"2","1",1
"91","13067031120","Cobb County",81960,11.3141086056471,0.139252558914544,-1.90211538170033,0.390444810543657,4249,77,4.35670882668959,"3","2",1
"92","13067031207","Cobb County",91127,11.4201191478838,0.0256596906278435,-3.33373434219208,0.435668789808917,5495,24,3.19846482760807,"3","2",2
"93","13067031212","Cobb County",229124,12.3420622642396,0,-4.60517018598809,0.874089068825911,2470,72.5,3.99511909286018,"4","1",2
"94","13067031213","Cobb County",104236,11.5545087696204,0.210816062176166,-1.51042522186194,0.390967741935484,3100,22,3.13549421592915,"4","NaN",1
"95","13067031215","Cobb County",127083,11.7526743809166,0.0169631774927596,-3.61328314035919,0.31883759274526,4852,63,4.04397377732133,"2","2",2
"96","13067031216","Cobb County",97857,11.4913646930431,0.00894509561998766,-3.96621018728295,0.291178285009254,3242,4,1.6094379124341,"2","NaN",1
"97","13067031217","Cobb County",84453,11.3440688476298,0.0599259097842667,-2.66031902912045,0.344301590760514,4589,2,1.09861228866811,"4","NaN",1
